usage_rgn_cd,region_sido,region_sigungu,drop_reason,mapping_note
44770,충남,서천군,,사용처지역코드 파일 기준
44790,충남,청양군,,사용처지역코드 파일 기준
44800,충남,홍성군,,사용처지역코드 파일 기준
44810,충남,예산군,,사용처지역코드 파일 기준
44825,충남,태안군,,사용처지역코드 파일 기준
46110,전남,목포시,,사용처지역코드 파일 기준
46130,전남,여수시,,사용처지역코드 파일 기준
46150,전남,순천시,,사용처지역코드 파일 기준
46170,전남,나주시,,사용처지역코드 파일 기준
46230,전남,광양시,,사용처지역코드 파일 기준
46710,전남,담양군,,사용처지역코드 파일 기준
46720,전남,곡성군,,사용처지역코드 파일 기준
46730,전남,구례군,,사용처지역코드 파일 기준
46770,전남,고흥군,,사용처지역코드 파일 기준
46780,전남,보성군,,사용처지역코드 파일 기준
46790,전남,화순군,,사용처지역코드 파일 기준
46800,전남,장흥군,,사용처지역코드 파일 기준
46810,전남,강진군,,사용처지역코드 파일 기준
46820,전남,해남군,,사용처지역코드 파일 기준
46830,전남,영암군,,사용처지역코드 파일 기준
46840,전남,무안군,,사용처지역코드 파일 기준
46860,전남,함평군,,사용처지역코드 파일 기준
46870,전남,영광군,,사용처지역코드 파일 기준
46880,전남,장성군,,사용처지역코드 파일 기준
46890,전남,완도군,,사용처지역코드 파일 기준
46900,전남,진도군,,사용처지역코드 파일 기준
46910,전남,신안군,,사용처지역코드 파일 기준
47111,경북,포항시,,사용처지역코드 파일 기준
47113,경북,포항시,,사용처지역코드 파일 기준
47130,경북,경주시,,사용처지역코드 파일 기준
47150,경북,김천시,,사용처지역코드 파일 기준
47170,경북,안동시,,사용처지역코드 파일 기준
47190,경북,구미시,,사용처지역코드 파일 기준
47210,경북,영주시,,사용처지역코드 파일 기준
47230,경북,영천시,,사용처지역코드 파일 기준
47250,경북,상주시,,사용처지역코드 파일 기준
47280,경북,문경시,,사용처지역코드 파일 기준
47290,경북,경산시,,사용처지역코드 파일 기준
47720,대구,군위군,,사용처지역코드 파일 기준
47730,경북,의성군,,사용처지역코드 파일 기준
47750,경북,청송군,,사용처지역코드 파일 기준
47760,경북,영양군,,사용처지역코드 파일 기준
47770,경북,영덕군,,사용처지역코드 파일 기준
47820,경북,청도군,,사용처지역코드 파일 기준
47830,경북,고령군,,사용처지역코드 파일 기준
47840,경북,성주군,,사용처지역코드 파일 기준
47850,경북,칠곡군,,사용처지역코드 파일 기준
47900,경북,예천군,,사용처지역코드 파일 기준
47920,경북,봉화군,,사용처지역코드 파일 기준
47930,경북,울진군,,사용처지역코드 파일 기준
47940,경북,울릉군,,사용처지역코드 파일 기준
48000,,,경상남도 광역 합계,시군구 배분 불가 광역 집계라 clean에서 제외
48120,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
48121,경남,창원시,,사용처지역코드 파일 기준
48123,경남,창원시,,사용처지역코드 파일 기준
48125,경남,창원시,,사용처지역코드 파일 기준
48127,경남,창원시,,사용처지역코드 파일 기준
48129,경남,창원시,,사용처지역코드 파일 기준
48170,경남,진주시,,사용처지역코드 파일 기준
48220,경남,통영시,,사용처지역코드 파일 기준
48240,경남,사천시,,사용처지역코드 파일 기준
48250,경남,김해시,,사용처지역코드 파일 기준
48270,경남,밀양시,,사용처지역코드 파일 기준
48310,경남,거제시,,사용처지역코드 파일 기준
48330,경남,양산시,,사용처지역코드 파일 기준
48720,경남,의령군,,사용처지역코드 파일 기준
48730,경남,함안군,,사용처지역코드 파일 기준
48740,경남,창녕군,,사용처지역코드 파일 기준
48820,경남,고성군,,사용처지역코드 파일 기준
48840,경남,남해군,,사용처지역코드 파일 기준
48850,경남,하동군,,사용처지역코드 파일 기준
48860,경남,산청군,,사용처지역코드 파일 기준
48870,경남,함양군,,사용처지역코드 파일 기준
48880,경남,거창군,,사용처지역코드 파일 기준
48890,경남,합천군,,사용처지역코드 파일 기준
50000,,,제주특별자치도 광역 합계,시군구 배분 불가 광역 집계라 clean에서 제외
50110,제주,제주시,,사용처지역코드 파일 기준
50130,제주,서귀포시,,사용처지역코드 파일 기준
51000,,,강원특별자치도 광역 합계,시군구 배분 불가 광역 집계라 clean에서 제외
51110,강원,춘천시,,사용처지역코드 파일 기준
51130,강원,원주시,,사용처지역코드 파일 기준
51150,강원,강릉시,,사용처지역코드 파일 기준
51170,강원,동해시,,사용처지역코드 파일 기준
51190,강원,태백시,,사용처지역코드 파일 기준
51210,강원,속초시,,사용처지역코드 파일 기준
51230,강원,삼척시,,사용처지역코드 파일 기준
51720,강원,홍천군,,사용처지역코드 파일 기준
51730,강원,횡성군,,사용처지역코드 파일 기준
51750,강원,영월군,,사용처지역코드 파일 기준
51760,강원,평창군,,사용처지역코드 파일 기준
51770,강원,정선군,,사용처지역코드 파일 기준
51780,강원,철원군,,사용처지역코드 파일 기준
51790,강원,화천군,,사용처지역코드 파일 기준
51800,강원,양구군,,사용처지역코드 파일 기준
51810,강원,인제군,,사용처지역코드 파일 기준
51820,강원,고성군,,사용처지역코드 파일 기준
51830,강원,양양군,,사용처지역코드 파일 기준
52110,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
52111,전북,전주시,,사용처지역코드 파일 기준
52113,전북,전주시,,사용처지역코드 파일 기준
52130,전북,군산시,,사용처지역코드 파일 기준
52140,전북,익산시,,사용처지역코드 파일 기준
52180,전북,정읍시,,사용처지역코드 파일 기준
52190,전북,남원시,,사용처지역코드 파일 기준
52210,전북,김제시,,사용처지역코드 파일 기준
52710,전북,완주군,,사용처지역코드 파일 기준
52720,전북,진안군,,사용처지역코드 파일 기준
52730,전북,무주군,,사용처지역코드 파일 기준
52740,전북,장수군,,사용처지역코드 파일 기준
52750,전북,임실군,,사용처지역코드 파일 기준
52770,전북,순창군,,사용처지역코드 파일 기준
52790,전북,고창군,,사용처지역코드 파일 기준
52800,전북,부안군,,사용처지역코드 파일 기준
